Id GPUC;;Code barre de l'entr‚e;purete;reference fournisseur;identifiant fournisseur;;conditionnement;unite;;armoire;;numero de lot;Date d'achat ;Date d'ouverture ;Date de p‚remption 
;7722-84-1;;;;;6;1;;6;D;D4;;;;
;7664-38-2;;;;;3;1;;3;D;D4;;;;
;78-83-1;;;;;1;1;;1;D;D5;;;;
;60-29-7;;;;;1;1;;1;D;D5;;;;
;108-10-1;;;;;2;1;;2;D;D5;;;;
;16940-66-2;;;;;1;1;;1;E;E1;;;;
;16940-66-2;;;;;1;1;;1;E;E1;;;;
;144-55-8;;;;;1;1;;1;E;E1;;;;
;144-55-8;;;;;1;1;;1;E;E1;;;;
;497-19-8;;;;;1;1;;1;E;E1;;;;
;7647-14-5;;;;;1;1;;1;E;E1;;;;
;7647-14-5;;;;;1;1;;1;E;E1;;;;
;7681-49-4;;;;;1;1;;1;E;E1;;;;
;10034-88-5;;;;;1;1;;1;E;E1;;;;
;10102-40-6;;;;;1;1;;1;E;E1;;;;
;7632-00-0;;;;;1;1;;1;E;E1;;;;
;1310-73-2;;;;;1;1;;1;E;E1;;;;
;1310-73-2;;;;;3;1;;3;E;E1;;;;
;1313-60-6;;;;;1;1;;1;E;E2;;;;
;10039-32-4;;;;;1;1;;1;E;E2;;;;
;10101-89-0;;;;;1;1;;1;E;E2;;;;
;10101-89-0;;;;;1;1;;1;E;E2;;;;
;13472-36-1;;;;;1;1;;1;E;E2;;;;
;7757-82-6;;;;;1;1;;1;E;E2;;;;
;27610-45-3;;;;;1;1;;1;E;E2;;;;
;6106-24-7;;;;;1;1;;1;E;E2;;;;
;6106-24-7;;;;;1;1;;1;E;E2;;;;
;10102-17-7;;;;;2;1;;2;E;E2;;;;
;10213-10-2;;;;;1;1;;1;E;E2;;;;
;7778-50-9;;;;;1;1;;1;E;E3;;;;
;7778-50-9;;;;;2;1;;2;E;E3;;;;
;7778-50-9;;;;;2;1;;2;E;E3;;;;
;584-08-7;;;;;1;1;;1;E;E3;;;;
;10424-09-6;;;;;1;1;;1;E;E3;;;;
;7447-40-7;;;;;3;1;;3;E;E3;;;;
;7447-40-7;;;;;1;1;;1;E;E3;;;;
;7646-93-7;;;;;1;1;;1;E;E3;;;;
;7778-77-0;;;;;1;1;;1;E;E3;;;;
;7757-79-1;;;;;1;1;;1;E;E3;;;;
;7722-64-7;;;;;1;1;;1;E;E3;;;;
;7722-64-7;;;;;1;1;;1;E;E3;;;;
;7778-80-5;;;;;1;1;;1;E;E4;;;;
;6487-48-5;;;;;2;1;;2;E;E4;;;;
;12125-02-9;;;;;1;1;;1;E;E4;;;;
;7803-55-6;;;;;3;1;;3;E;E4;;;;
;12054-85-2;;;;;2;1;;2;E;E4;;;;
;7783-85-9;;;;;1;1;;1;E;E4;;;;
;7783-20-2;;;;;2;1;;2;E;E4;;;;
;7439-89-6;;;;;1;1;;1;E;E4;;;;
;1309-37-1;;;;;1;1;;1;E;E5;;;;
;13463-10-0;;;;;1;1;;1;E;E5;;;;
;7782-63-0;;;;;1;1;;1;E;E5;;;;
;15244-10-7;;;;;1;1;;1;E;E5;;;;
;7705-07-9;;;;;1;1;;1;E;E5;;;;
;1313-99-1;;;;;1;1;;1;E;E5;;;;
;10026-22-9;;;;;1;1;;1;E;E5;;;;
;1308-06-1;;;;;1;1;;1;E;E5;;;;
;10026-24-1;;;;;1;1;;1;E;E5;;;;
;1314-62-1;;;;;1;1;;1;E;E5;;;;
;13463-67-7;;;;;1;1;;1;E;E6;;;;
;10025-69-1;;;;;1;1;;1;E;E6;;;;
;1314-62-1;;;;;1;1;;1;E;E6;;;;
;1313-96-8;;;;;1;1;;1;E;E6;;;;
;1314-61-0;;;;;1;1;;1;E;E6;;;;
;15189-51-2;;;;;1;1;;1;E;E6;;;;
;15189-51-2;;;;;2;1;;2;E;E6;;;;
;1314-23-4;;;;;1;1;;1;E;E6;;;;
;7761-88-8;;;;;1;1;;1;E;E6;;;;
;7782-91-4;;;;;1;1;;1;E;E6;;;;
;108-11-2;;;;;2;1;;2;F;F2;;;;
;140-89-6;;;;;1;1;;1;F;F3;;;;
;6791-12-4;;;;;1;1;;1;F;F3;;;;
;140-89-6;;;;;1;1;;1;F;F4;;;;
;20624-25-3;;;;;1;1;;1;F;F4;;;;
;140-90-9;;;;;1;1;;1;F;F4;;;;
;94266-20-3;;;;;1;1;;1;F;F4;;;;
;148-18-5;;;;;1;1;;1;F;F4;;;;
;304-88-1;;;;;1;1;;1;I;I1;;;;
;64-19-7;;;;;1;1;;1;I;I3;;;;
;10043-35-3;;;;;1;1;;1;I;I3;;;;
;16961-83-4;;;;;1;1;;1;I;I3;;;;
;16961-83-4;;;;;1;1;;1;I;I3;;;;
;144-62-7;;;;;1;1;;1;I;I3;;;;
;7631-86-9;;;;;1;1;;1;I;I3;;;;
;16893-85-9;;;;;1;1;;1;I;I4;;;;
;14373-91-2;;;;;1;1;;1;I;I4;;;;
;62-76-0;;;;;1;1;;1;I;I4;;;;
;64010-42-0;;;;;2;1;;2;I;I4;;;;
;7778-50-9;;;;;1;1;;1;I;I4;;;;
;13250-83-7;;;;;1;1;;1;I;I4;;;;
;7705-08-0;;;;;2;1;;2;I;I4;;;;
;9004-32-4;;;;;1;1;;1;I;I5;;;;
;1401-55-4;;;;;1;1;;1;I;I5;;;;
;1305-78-8;;;;;3;1;;3;J;J1;;;;
;10043-52-4;;;;;1;1;;1;J;J1;;;;
;7757-83-7;;;;;1;1;;1;J;J2;;;;
;7720-78-7;;;;;2;1;;2;J;J2;;;;
;7720-78-7;;;;;2;1;;2;J;J2;;;;
;7487-88-9;;;;;1;1;;1;J;J2;;;;
;1313-82-2;;;;;1;1;;1;J;J2;;;;
;7727-43-7;;;;;1;1;;1;J;J2;;;;
;7790-84-3;;;;;1;1;;1;J;J2;;;;
;10026-24-1;;;;;1;1;;1;J;J2;;;;
;7758-99-8;;;;;1;1;;1;J;J2;;;;
;10101-97-0;;;;;2;1;;2;J;J2;;;;
;7733-02-0;;;;;1;1;;1;J;J2;;;;
;7733-02-0;;;;;4;1;;4;J;J2;;;;
;10196-18-6;;;;;1;1;;1;J;J2;;;;
;13478-10-9;;;;;1;1;;1;J;J2;;;;
;7758-95-4;;;;;1;1;;1;J;J2;;;;
;10102-40-6;;;;;2;1;;2;J;J2;;;;
;1309-42-8;;;;;1;1;;1;J;J2;;;;
;1314-13-2;;;;;1;1;;1;J;J2;;;;
;7440-50-8;;;;;1;1;;1;J;J3;;;;
;7439-89-6;;;;;16;1;;16;J;J3;;;;
;7429-90-5;;;;;1;1;;1;J;J4;;;;
;7429-90-5;;;;;2;1;;2;J;J4;;;;
;7439-89-6;;;;;1;1;;1;J;J4;;;;
;7440-66-6;;;;;1;1;;1;J;J4;;;;
;7440-44-0;;;;;2;1;;2;J;J4;;;;
